id;label;video;playlist;start;end;duration;splits;prev_delta;post_delta
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_0;para dejar en el camino tanto inglés, para que el país sea un puño apretado gritando por argentina. argentina 2...;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;3.9;14.64;9.698;[('para dejar en el camino tanto inglés, para que el país sea un puño apretado', 3.9, 10.448), ('gritando por argentina. argentina 2...', 10.5, 14.64)];;0.08
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_2; mientras trabajábamos para brindarte toda la información en nuestro primer programa, nos impactó la noticia de la muerte de diego maradona, el futbolista conocido mundialmente quien llevó a la argentina a ser campeón en el mundial 86, en medio de un mundo convulsionado.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;14.72;37.12;26.42;[(' mientras trabajábamos para brindarte toda la información', 14.72, 17.87), ('en nuestro primer programa,', 18.09, 19.51), ('nos impactó la noticia de la muerte de diego maradona,', 19.57, 24.33), ('el futbolista conocido mundialmente', 24.75, 27.27), ('quien llevó a la argentina a ser campeón en el mundial 86,', 27.33, 33.84), ('en medio de un mundo convulsionado.', 34.0, 37.12)];0.08;0.0600000000000022
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_8;será recordado por siempre. este programa es un homenaje a su persona.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;37.18;43.54;6.359.999.999.999.990;[('será recordado por siempre. este programa es un homenaje a su persona.', 37.18, 43.54)];0.0600000000000022;33.27
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_10; buenas noches. bienvenidos a cn sordos argentina, el primer noticiero de argentina conducido por personas sordas.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;76.81;82.66;472.999.999.999.999;[(' buenas noches. bienvenidos a cn sordos argentina,', 76.81, 79.63), ('el primer noticiero de argentina conducido por personas sordas.', 79.69, 82.66)];33.27;0.1800000000000068
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_12;mi nombre es lucía.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;82.84;84.75;19.099.999.999.999.900;[('mi nombre es lucía.', 82.84, 84.75)];0.1800000000000068;32.0
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_13;¿por qué votan los martes?;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;116.75;118.78;2.030.000.000.000.000;[('¿por qué votan los martes?', 116.75, 118.78)];32.0;0.0600000000000022
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_14;los avances en las investigaciones de las vacunas contra el coronavirus.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;118.84;123.6;4.759.999.999.999.990;[('los avances en las investigaciones de las vacunas contra el coronavirus.', 118.84, 123.6)];0.0600000000000022;0.0600000000000022
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_15;cuáles son las novedades de la auh.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;123.66;126.84;3.180.000.000.000.000;[('cuáles son las novedades de la auh.', 123.66, 126.84)];0.0600000000000022;0.1599999999999966
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_16;los problemas que puede causar mirar el celular o la pc todo el día.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;127.0;131.54;4.539.999.999.999.990;[('los problemas que puede causar mirar el celular o la pc todo el día.', 127.0, 131.54)];0.1599999999999966;0.700000000000017
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_17; y además, el caso próvolo y los abusos a la comunidad sorda.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;132.24;138.54;6.299.999.999.999.980;[(' y además, el caso próvolo y los abusos a la comunidad sorda.', 132.24, 138.54)];0.700000000000017;1.760.000.000.000.010
